Title,Author,Download_Timestamp,Format,ISBN,Identifiers,Languages,Publication_Date,Publisher,Series,Series_Index,Size,Tags,UUID,Comments,USD Sale Price,Page Count,Categories,Width,Thickness,Height,Weight
The Ballad of Songbirds and Snakes,Suzanne Collins,2023-11-14T20:02:21-08:00,mobi,9781339033068,"isbn:9781339033068,barnesnoble:1133952083,mobi-asin:59879fd8-910d-4950-951e-734042353f80",eng,2023-07-31T23:00:00-08:00,"Scholastic, Inc.",Hunger Games,1,3981327,,f83693f0-9f0e-4288-ae93-2a120064e745,,10.99,528,"YA, Fiction",5.5,1.05,8.4,2.31
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,2023-11-22T10:37:32-08:00,mobi,9781501174827,"mobi-asin:c556e100-7f30-44a2-8268-1f077788c27f,amazon:B01M5IJM2U,barnesnoble:1124863869,google:NdAmDwAAQBAJ,isbn:9781501174827",eng,2017-06-12T23:00:00-08:00,Simon and Schuster,,1,735156,"Fiction, Romance, Contemporary, Lgbtq+, General, Bisexual, Women",2edf438c-855a-496d-8bbf-68f7b68625b2,"A stunning hardcover special edition of Taylor Jenkins Reid’s sensational New York Times bestselling novel. A legendary film actress reflects on her relentless rise to the top and the risks she took, the loves she lost, and the long-held secrets the public could never imagine. Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now? Monique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career. Summoned to Evelyn’s luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the ’80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn’s story near its conclusion, it becomes clear that her life intersects with Monique’s own in tragic and irreversible ways. “Heartbreaking, yet beautiful” (Jamie Blynn, Us Weekly), The Seven Husbands of Evelyn Hugo is “Tinseltown drama at its finest” (Redbook): a mesmerizing journey through the splendor of old Hollywood into the harsh realities of the present day as two women struggle with what it means—and what it costs—to face the truth.",10.99,400,"Fiction, Queer, Smut",5.31,1.1,8.25,0.7
The Sun and the Star,Rick Riordan,2023-12-28T18:38:11-08:00,"epub, mobi",9786073836418,"barnesnoble:1143859584,goodreads:195365099,mobi-asin:B0BCY43MD4,isbn:9786073836418",eng,2024-01-23T00:00:00-08:00,PRH Grupo Editorial,Percy Jackson and the Olympians Series,1,1328173,,836f4ed5-b2a1-49de-83fa-49650f260f8c,,7.99,480,"YA, Fiction, Greek Mythology",5.95,1.29,8.47,N/A
The Odyssey,Homer,2023-12-28T18:38:11-08:00,"epub, mobi",9780374525743,"isbn:9780374525743,google:PpJYDgAAQBAJ,mobi-asin:cf761c76-78df-48ea-9ac4-727b94c7e66e,amazon:0374525749",eng,1998-11-05T00:00:00-08:00,FSG Adult,,1,1788458,"Poetry, Ancient & Classical, Epic",a6e7634b-b719-4040-a0ba-bd3843da7dde,"The Odyssey, translated by T. E. Lawrence, an epic 12,000-line poem composed over 2,700 years ago, is the first adventure story in Western literature. It describes the ten-year wanderings of Odysseus in his quest to return home after the Trojan War. Hounded by the sea-god Poseidon and championed by the goddess Athene, he encounters giants, sorceresses, and sea monsters before finally reaching his beloved Ithaca. There he must endure the taunts of the Suitors to his queen, Penelope, who have taken up residence in his palace. At once enchanting fairy tale and gripping drama, the Odyssey is eminently readable, not least for the rich complexity and magnetism of its hero. An inspiration to writers as diverse as Virgil, Swift, and Joyce, the Odyssey has proved enormously influential and continues to captivate readers of all ages.",10.99,515,Greek Mythology,5.5,1.05,8.4,2.31
Yellowface: A Novel,R. F Kuang,2023-12-28T18:38:11-08:00,"epub, mobi",9780063323179,"goodreads:108518662,amazon:0063323176,isbn:9780063323179",eng,2023-05-15T23:00:00-08:00,William Morrow Paperbacks,,1,1021250,,fc8b1839-2449-468d-bb03-e579504a58fe,,10.99,351,"Mystery, Fiction",5.5,1.05,8.4,N/A
This Is How You Lose the Time War,Amal El-Mohtar & Max Gladstone,2023-12-28T18:38:11-08:00,"epub, mobi",9781534430990,"google:21_RDwAAQBAJ,barnesnoble:1129709862,isbn:9781534430990",eng,2020-03-16T23:00:00-08:00,Simon and Schuster,,1,2171741,"Fiction, Science Fiction, Time Travel, Fantasy, General, Romance",bc248607-98ef-40e4-ae6f-eef31871fe43,"* HUGO AWARD WINNER: BEST NOVELLA * NEBULA AND LOCUS AWARDS WINNER: BEST NOVELLA * “[An] exquisitely crafted tale...Part epistolary romance, part mind-blowing science fiction adventure, this dazzling story unfolds bit by bit, revealing layers of meaning as it plays with cause and effect, wildly imaginative technologies, and increasingly intricate wordplay...This short novel warrants multiple readings to fully unlock its complexities.” —Publishers Weekly (starred review) From award-winning authors Amal El-Mohtar and Max Gladstone comes an enthralling, romantic novel spanning time and space about two time-traveling rivals who fall in love and must change the past to ensure their future. Among the ashes of a dying world, an agent of the Commandment finds a letter. It reads: Burn before reading. Thus begins an unlikely correspondence between two rival agents hellbent on securing the best possible future for their warring factions. Now, what began as a taunt, a battlefield boast, becomes something more. Something epic. Something romantic. Something that could change the past and the future. Except the discovery of their bond would mean the death of each of them. There’s still a war going on, after all. And someone has to win. That’s how war works, right? Cowritten by two beloved and award-winning sci-fi writers, This Is How You Lose the Time War is an epic love story spanning time and space.",10.99,224,"Sci-Fi, Fiction",5.5,0.6,8.25,0.4
The Secret History,Donna Tartt,2023-12-28T18:38:11-08:00,"epub, mobi",9780141037691,"barnesnoble:1002293896,isbn:9780141037691,google:cdGDPwAACAAJ",eng,2004-04-12T23:00:00-08:00,Penguin,Vintage Contemporaries,1,828204,,a9813979-a29b-43af-8442-78f3d2e601ca,"A military official and chronicler under the Eastern Roman emperor Justinian, Procopius is a key primary source for historians studying Justinian’s reign. In addition to writing a conventional history of Justinian’s wars titled History of the Wars and a panegyric to Justinian’s construction projects titled The Buildings, Procopius composed a Secret History supposedly consisting of the incidents he withheld from his previous books. In his Secret History, which was lost for centuries before it resurfaced at the Vatican Library in Rome in the 17th century, Procopius purports to unveil the celebrated Byzantine monarchs Justinian and Theodora for who they really are: corrupt, arbitrary, and literally demonic tyrants. Although considered an authentic text, its invective tone against Justinian and Theodora and its sometimes extravagant accusations (e.g. that Justinian was a demon in human form with a vanishing head) puts it in an unclear position between fiction and history. Nevertheless, the Secret History continues to be an object of study by classicists, and Procopius’s purpose for composing such a scathing text remains an object of speculation. This book is part of the Standard Ebooks project, which produces free public domain ebooks.",0.0,576,"Mystery, Fiction",5.5,1.05,8.4,N/A
The Iliad of Homer,Richmond Lattimore & Homer,2023-12-28T18:38:11-08:00,"epub, mobi",9780226470498,"isbn:9780226470498,barnesnoble:1116755951,amazon:0226470490",eng,2011-01-02T00:00:00-08:00,University of Chicago Press,,1,2976514,,dbf8b7a3-e8b4-40ff-b495-e51e5c324468,"Homer’s great epic The Odyssey—one of Western literature’s most enduring and important works—translated by Richmond Lattimore A classic for the ages, The Odyssey recounts Odysseus’ journey home after the Trojan War—and the obstacles he faces along the way to reclaim his throne, kingdom, and family in Ithaca. During his absence, his steadfast and clever wife, Penelope, and now teenaged son, Telemachus, have lived under the constant threat of ruthless suitors, all desperate to court Penelope and claim the throne. As the suitors plot Telemachus’ murder, the gods debate Odysseus’ fate. With help from the goddess Athena, the scattered family bides their time as Odysseus battles his way through storm and shipwreck, the cave of the Cyclops, the isle of witch-goddess Circe, the deadly Sirens’ song, a trek through the Underworld, and the omnipresent wrath of the scorned god Poseidon. An American poet and classicist, Richmond Lattimore’s translation of The Odyssey is widely considered among the best available in the English language. Lattimore breathes modern life into Homer’s epic, bringing this classic work of heroes, monsters, vengeful gods, treachery, and redemption to life for modern readers.",10.99,608,"Greek Mythology, Classic",5.5,1.4,8.5,2.31
Stone Blind: A Novel,Natalie Haynes,2023-12-28T18:38:11-08:00,"epub, mobi",9780063258419,"google:_iZvEAAAQBAJ,isbn:9780063258419,barnesnoble:1141481966",eng,2023-02-07T00:00:00-08:00,HarperCollins,,1,1299186,"Fiction, Literary, Classics, Historical, Ancient",1f298111-d15e-4b42-98b1-61c2560a7982,"Longlisted for the Women’s Prize for Fiction 2023 ""Haynes is master of her trade . . . She succeeds in breathing warm life into some of our oldest stories.”—Telegraph (UK) The national bestselling author of A Thousand Ships and Pandora's Jar returns with a fresh and stunningly perceptive take on the story of Medusa, the original monstered woman. They will fear you and flee you and call you a monster. The only mortal in a family of gods, Medusa is the youngest of the Gorgon sisters. Unlike her siblings, Medusa grows older, experiences change, feels weakness. Her mortal lifespan gives her an urgency that her family will never know. When the sea god Poseidon assaults Medusa in Athene’s temple, the goddess is enraged. Furious by the violation of her sacred space, Athene takes revenge—on the young woman. Punished for Poseidon’s actions, Medusa is forever transformed. Writhing snakes replace her hair and her gaze will turn any living creature to stone. Cursed with the power to destroy all she loves with one look, Medusa condemns herself to a life of solitude. Until Perseus embarks upon a fateful quest to fetch the head of a Gorgon . . . In Stone Blind, classicist and comedian Natalie Haynes turns our understanding of this legendary myth on its head, bringing empathy and nuance to one of the earliest stories in which a woman—injured by a powerful man—is blamed, punished, and monstered for the assault. Delving into the origins of this mythic tale, Haynes revitalizes and reconstructs Medusa’s story with her passion and fierce wit, offering a timely retelling of this classic myth that speaks to us today.",10.99,384,"Greek Mythology, Classic",6.0,1.21,9.0,N/A
Lore,Alexandra Bracken,2023-12-28T18:38:11-08:00,"epub, mobi",9781368002318,"barnesnoble:1136968819,google:gAnoDwAAQBAJ,isbn:9781368002318",eng,2021-01-05T00:00:00-08:00,Disney Publishing Group,,1,926725,"Juvenile Fiction, General",40baab8e-c9af-47f0-9ab1-c04cae9b8c19,"THE INSTANT #1 NEW YORK TIMES BEST-SELLER “Epic from start to finish.” —Marie Lu, #1 New York Times best-selling author of Warcross “A brilliant and breathless twist on classic mythology!” —Marissa Meyer, #1 New York Times best-selling author of The Lunar Chronicles Every seven years, the Agon begins. As punishment for a past rebellion, nine Greek gods are forced to walk the earth as mortals. They are hunted by the descendants of ancient bloodlines, all eager to kill a god and seize their divine power and immortality. Long ago, Lore Perseous fled that brutal world, turning her back on the hunt’s promises of eternal glory after her family was murdered by a rival line. For years she’s pushed away any thought of revenge against the man—now a god—responsible for their deaths. Yet as the next hunt dawns over New York City, two participants seek her out: Castor, a childhood friend Lore believed to be dead, and Athena, one of the last of the original gods, now gravely wounded. The goddess offers an alliance against their mutual enemy and a way to leave the Agon behind forever. But Lore's decision to rejoin the hunt, binding her fate to Athena's, will come at a deadly cost—and it may not be enough to stop the rise of a new god with the power to bring humanity to its knees. From the #1 New York Times best-selling author of The Darkest Minds comes a sweepingly ambitious, high-octane tale of power, destiny, love, and redemption.",9.99,496,"Greek Mythology, Fiction",5.6,0.99,8.2,2.31
