Title,Author,Download_Timestamp,Format,ISBN,Identifiers,Languages,Publication_Date,Publisher,Series,Series_Index,Size,Tags,UUID,Comments,USD Sale Price,Page Count,Categories,Width,Thickness,Height,Weight
Heroes: The Greek Myths Reimagined,Stephen Fry,2023-12-28T18:38:12-08:00,"epub, mobi",9781797204550,"barnesnoble:1133984853,isbn:9781797204550,google:n1PODwAAQBAJ",eng,2020-06-01T23:00:00-08:00,Chronicle Books,Stephen Fry's Greek Myths Series,2,10315968,"Fiction, Fairy Tales; Folk Tales; Legends & Mythology, History, Ancient, Greece, Classics",fac70439-88c0-41e9-895d-420f7c5753d8,,10.99,368,"Greek Mythology, Fiction",5.5,1.05,8.4,N/A
Mythos,Stephen Fry,2023-12-28T18:38:12-08:00,"epub, mobi",9781452179049,"google:dO-aDwAAQBAJ,isbn:9781452179049,barnesnoble:1135362479",eng,2019-08-26T23:00:00-08:00,Chronicle Books,Stephen Fry's Greek Myths Series,1,17732169,"History, Ancient, Greece",e2a86535-b2ec-4b4d-9e76-a34af88bd539,,10.99,352,"Greek Mythology, Fiction",5.5,1.05,8.4,N/A
Troy: The Greek Myths Reimagined,Stephen Fry,2023-12-28T18:38:12-08:00,"epub, mobi",9781797207070,"barnesnoble:1138474165,isbn:9781797207070",eng,2021-06-28T23:00:00-08:00,Chronicle Books,Stephen Fry's Greek Myths Series,3,2304730,,f45a5c10-cacc-475e-b8dd-fac6971aedbb,"In the brilliant third installment of his bestselling Mythos series, legendary author and actor Stephen Fry retells the tale of the Trojan War with his trademark wit and vibrance. Full of tragic heroes, intoxicating love stories, and the unstoppable force of fate, there is no conflict more iconic than the Trojan War. Troy is the story of the epic battle retold by Fry with drama, humor, and vivid emotion. Achilles, Hector, Odysseus, Helen, their lovers, and their mortal enemies all burn bright in Fry's compelling prose. Illustrated throughout with classical art inspired by the myths, this fresh take on an ancient tale invites you to explore a captivating world with a virtuoso storyteller as your guide. BELOVED AUTHOR: Stephen Fry is an icon whose signature wit and mellifluous style makes this retelling utterly unique. Fans will love hearing his interpretation, whether they are familiar with the original Greek myths or not. STUNNING SERIES ADDITION: Mythos and Heroes, the first two installments in the Greek mythology trilogy, were international bestsellers. Now fans can update their set and read the thrilling third book. GORGEOUS GIFT: With a vibrant contemporary design, full-color artwork throughout, and shimmering metallic highlights on the jacket, this book makes a superb present. READERS LOVE IT: Stephen Fry's Greek Myths series' nearly 5-star rating and rave reviews make each of the three volumes a winner. “Stephen Fry is our modern-day Homer,” one reviewer declares, while another observes that “you really feel as if you're there as the events take place.” Buzzfeed says, “It's a quick-witted retelling so beginners and experts can both get something from it.” Perfect for: Readers of Madeline Miller's Circe and Song of Achilles, Edith Hamilton's Mythology, and Neil Gaiman's Norse Mythology People who enjoy reading timeless stories, from fairy tales to Viking mythology to legends of Greek gods Fans of classic literature and poetry about ancient Greece",20.99,288,"Greek Mythology, Fiction",5.5,1.05,8.4,N/A
Clytemnestra: A Novel,Costanza Casati,2023-12-28T18:38:12-08:00,"epub, mobi",9781728268255,"amazon:1728268230,google:v7d1EAAAQBAJ,mobi-asin:9c3230f8-af32-49e2-a740-817d816e07f9,isbn:9781728268255,barnesnoble:1141663371",eng,2023-05-01T23:00:00-08:00,Sourcebooks,,1,656052,"Fiction, Historical, Ancient, Feminist, Women, World Literature, Greece, Fairy Tales; Folk Tales; Legends & Mythology, Literary",e969bc2b-805d-4cc8-9cc4-38be97a5609d,,10.99,582,"Greek Mythology, Fiction",5.5,1.05,8.4,N/A
Mythology (75th Anniversary Illustrated Edition): Timeless Tales of Gods and Heroes,Edith Hamilton,2023-12-28T18:38:12-08:00,"epub, mobi",9780316438520,"goodreads:33784345,isbn:9780316438520,barnesnoble:1102006732,google:H9TgwQEACAAJ",eng,2017-09-25T23:00:00-08:00,Running Press Book Publishers,,1,3018984,"Classics, Religion, Reference, History",2139d66e-dcd6-4e49-bde2-c31d6552fe1d,"This 75th anniversary edition of a classic bestseller is stunningly illustrated and designed to enchant fans of Greek, Roman, and Norse mythology at all ages. Since its original publication by Little, Brown and Company in 1942, Edith Hamilton's Mythology has sold millions of copies throughout the world and established itself as a perennial bestseller. For more than seven decades readers have chosen this book above all others to discover the enchanting world of mythology -- from Odysseus's adventure-filled journey to the Norse god Odin's effort to postpone the final day of doom. This deluxe, hardcover edition is fully-illustrated throughout with all-new, specially commissioned art, making it a true collector's item.",15.99,384,"Greek Mythology, Fiction",8.0,1.63,9.63,2.98
Ariadne: A Novel,Jennifer Saint,2023-12-28T18:38:12-08:00,mobi,9781250773579,"google:B132DwAAQBAJ,mobi-asin:ad59cfb1-61f2-41b5-ac12-63bf9fc1c2f0,isbn:9781250773579,barnesnoble:1137455982",eng,2021-05-03T23:00:00-08:00,Flatiron Books,,1,1287874,"Fiction, Literary, Fairy Tales; Folk Tales; Legends & Mythology, Women",4d437a82-3ddc-40e3-81bd-e590af0fa911,"A mesmerizing debut novel for fans of Madeline Miller's Circe. Ariadne, Princess of Crete, grows up greeting the dawn from her beautiful dancing floor and listening to her nursemaid’s stories of gods and heroes. But beneath her golden palace echo the ever-present hoofbeats of her brother, the Minotaur, a monster who demands blood sacrifice. When Theseus, Prince of Athens, arrives to vanquish the beast, Ariadne sees in his green eyes not a threat but an escape. Defying the gods, betraying her family and country, and risking everything for love, Ariadne helps Theseus kill the Minotaur. But will Ariadne’s decision ensure her happy ending? And what of Phaedra, the beloved younger sister she leaves behind? Hypnotic, propulsive, and utterly transporting, Jennifer Saint's Ariadne forges a new epic, one that puts the forgotten women of Greek mythology back at the heart of the story, as they strive for a better world.",11.99,320,"Greek Mythology, Fiction",5.35,0.85,8.2,2.31
Probability and Statistical Inference,Zimmerman,2023-12-28T18:38:12-08:00,"epub, mobi, pdf",321920287,isbn:0321920287,Unknown,2013-11-05T04:42:45-08:00,Unknown,,1,3328385,,c8605382-0b2d-4d9c-a410-c5c0117491bb,"For a one- or two-semester course; calculus background presumed, no previous study of probability or statistics is required. Written by three veteran statisticians, this applied introduction to probability and statistics emphasizes the existence of variation in almost every process, and how the study of probability and statistics helps us understand this variation. Designed for students with a background in calculus, this book continues to reinforce basic mathematical concepts with numerous real-world examples and applications to illustrate the relevance of key concepts.",10.99,484,"Mathematical statistics, Textbook",5.5,1.05,8.4,N/A
House of Odysseus,Claire North,2024-02-22T07:00:05-08:00,"epub, mobi",9780316668811,"amazon:0316444006,isbn:9780316668811,google:rkiHEAAAQBAJ,barnesnoble:1142157082",eng,2023-08-21T23:00:00-08:00,Orbit,The Songs of Penelope,2,3092827,"Fiction, Historical, Ancient, Fairy Tales; Folk Tales; Legends & Mythology, Fantasy, Literary",49b9b56c-2933-4756-bbd3-486deb01ac8d,,9.99,432,"Greek Mythology, Fiction",6.5,1.25,9.5,2.31
Atalanta,Jennifer Saint,2024-02-22T07:00:05-08:00,"epub, mobi",9781250855572,"isbn:9781250855572,google:GdF5zwEACAAJ,amazon:1250855578",eng,2023-05-08T23:00:00-08:00,Flatiron Books,,1,2958784,"Fiction, Fairy Tales; Folk Tales; Legends & Mythology",23def465-9985-484f-b7b7-62c15753440b,,10.99,305,"Greek Mythology, Fiction",6.5,1.0,9.55,2.31
Complete Works of Plato,Plato & John M. Cooper & D. S. Hutchinson,2024-02-22T07:03:12-08:00,"epub, mobi",9780872203495,"isbn:9780872203495,goodreads:9462,barnesnoble:1100494378,google:eSKTvJDrr5kC,amazon:0872203492",eng,1997-01-01T00:00:00-08:00,Hackett Publishing,I grandi filosofi,2,17287477,"History & Surveys, Ancient & Classical, Fiction, Anthologies (Multiple Authors), Politics, Classics, Philosophy, Reference, History",0e266576-f135-42c8-85a1-bee6ad0b096b,Gathers translations of Plato's works and includes guidance on approaching their reading and study,10.99,1848,"Philosophy, Classic",6.5,2.0,9.25,3.05
"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,2024-02-22T07:08:05-08:00,"epub, mobi",9781501160370,"amazon:1501160273,google:usSeDwAAQBAJ,barnesnoble:1132188921,isbn:9781501160370",eng,2020-04-13T23:00:00-08:00,Simon & Schuster,,1,26478727,"Biography & Autobiography, Science & Technology, Nature, Animals, Fish, Personal Memoirs",2572d691-2352-4ce5-922f-af149afe67af,"A Best Book of 2020: The Washington Post * NPR * Chicago Tribune * Smithsonian A “remarkable” (Los Angeles Times), “seductive” (The Wall Street Journal) debut from the new cohost of Radiolab, Why Fish Don’t Exist is a dark and astonishing tale of love, chaos, scientific obsession, and—possibly—even murder.​ “At one point, Miller dives into the ocean into a school of fish…comes up for air, and realizes she’s in love. That’s how I felt: Her book took me to strange depths I never imagined, and I was smitten.” —The New York Times Book Review David Starr Jordan was a taxonomist, a man possessed with bringing order to the natural world. In time, he would be credited with discovering nearly a fifth of the fish known to humans in his day. But the more of the hidden blueprint of life he uncovered, the harder the universe seemed to try to thwart him. His specimen collections were demolished by lightning, by fire, and eventually by the 1906 San Francisco earthquake—which sent more than a thousand discoveries, housed in fragile glass jars, plummeting to the floor. In an instant, his life’s work was shattered. Many might have given up, given in to despair. But Jordan? He surveyed the wreckage at his feet, found the first fish that he recognized, and confidently began to rebuild his collection. And this time, he introduced one clever innovation that he believed would at last protect his work against the chaos of the world. When NPR reporter Lulu Miller first heard this anecdote in passing, she took Jordan for a fool—a cautionary tale in hubris, or denial. But as her own life slowly unraveled, she began to wonder about him. Perhaps instead he was a model for how to go on when all seemed lost. What she would unearth about his life would transform her understanding of history, morality, and the world beneath her feet. Part biography, part memoir, part scientific adventure, Why Fish Don’t Exist is a wondrous fable about how to persevere in a world where chaos will always prevail.",10.99,256,"Autobiography, Memoir",5.25,0.6,8.0,2.31
My Heart of Rice: A Poetic Filipino American Experience,Ashley C Lanuza,2024-04-02T17:08:21-08:00,"epub, mobi",9781641373715,"isbn:9781641373715,barnesnoble:1136578746",eng,2020-02-20T00:00:00-08:00,Ashley C. Lanuza,,1,1559860,,b2bcbcf6-f959-45f3-856e-dd84bbd5b95f,"Through vivid and rhythmic poetry, My Heart of Rice moves to empower anyone who may have a difficult or unconventional relationship with their cultural identity. While Lanuza encourages acceptance of our unique details, she emphasizes the unity found in shared experiences and speaks of the inherent need for belonging, the youthful attempts at assimilation, and the deep melting pot of ethnicity and culture that makes up our humanity.",10.99,178,Poetry,5.5,0.41,8.5,0.46
After Sappho,Selby Wynn Schwartz,2024-04-02T17:08:21-08:00,"epub, mobi",9781324094470,"isbn:9781324094470,google:KtjwzwEACAAJ,barnesnoble:1141471464",eng,2024-01-09T00:00:00-08:00,Liveright Publishing Corporation,,1,2681667,"Fiction, Historical, General, Literary, Women, Lgbtq+, Epub3",0f37419d-e768-4fb6-afa1-5558bb393e5f,"LONGLISTED FOR THE 2022 BOOKER PRIZE A Guardian Best Book of the Year A New York Times Editors' Choice Selection “A work of stirring genius, a catalogue of intimacies and inventions, desires and dreams."" —Jacob Brogan, Washington Post An exhilarating debut from a radiant new voice, After Sappho reimagines the intertwined lives of feminists at the turn of the twentieth century. “The first thing we did was change our names. We were going to be Sappho,” so begins this intrepid debut novel, centuries after the Greek poet penned her lyric verse. Ignited by the same muse, a myriad of women break from their small, predetermined lives for seemingly disparate paths: in 1892, Rina Faccio trades her needlepoint for a pen; in 1902, Romaine Brooks sails for Capri with nothing but her clotted paintbrushes; and in 1923, Virginia Woolf writes: “I want to make life fuller and fuller.” Writing in cascading vignettes, Selby Wynn Schwartz spins an invigorating tale of women whose narratives converge and splinter as they forge queer identities and claim the right to their own lives. A luminous meditation on creativity, education, and identity, After Sappho announces a writer as ingenious as the trailblazers of our past. “This book is splendid: Impish, irate, deep, courageous. . . . Brava!”—Lucy Ellmann, author of Ducks, Newburyport",17.99,272,"Greek Mythology, Fiction",5.8,1.0,8.6,2.31
Bad Gays: A Homosexual History,Huw Lemmey & Ben Miller,2024-04-02T17:08:22-08:00,"epub, mobi",9781839763281,"barnesnoble:1140141878,google:bk6GEAAAQBAJ,isbn:9781839763281",eng,2023-05-29T23:00:00-08:00,Verso Books,,1,778502,"Social Science, Human Sexuality, Popular Culture, LGBTQ+ Studies, General",7920c272-3433-4451-819f-eade8f3abbae,"These “very funny-deep dives into the lives of the most dastardly queer people in history” offer a passionate argument for rethinking gay politics beyond identity (Vogue). What can we learn from the homosexual villains, failures, and baddies of our past? We all remember Oscar Wilde, but who speaks for Bosie? What about those ‘bad gays’ whose unexemplary lives reveal more than we might expect? Many popular histories seek to establish homosexual heroes, pioneers, and martyrs but, as Huw Lemmey and Ben Miller argue, the past is filled with queer people whose sexualities and dastardly deeds have been overlooked despite their being informative and instructive. Based on the hugely popular podcast series of the same name, Bad Gays asks what we can learn about LGBTQ+ history, sexuality and identity through its villains, failures, and baddies. With characters such as the Emperor Hadrian, anthropologist Margaret Mead and notorious gangster Ronnie Kray, the authors tell the story of how the figure of the white gay man was born, and how he failed. They examine a cast of kings, fascist thugs, artists and debauched bon viveurs. Imperial-era figures Lawrence of Arabia and Roger Casement get a look-in, as do FBI boss J. Edgar Hoover, lawyer Roy Cohn, and architect Philip Johnson. Together these amazing life stories expand and challenge mainstream assumptions about sexual identity: showing that homosexuality itself was an idea that emerged in the 19th century, one central to major historical events. Bad Gays is a passionate argument for rethinking gay politics beyond questions of identity, compelling readers to search for solidarity across boundaries.",10.99,368,"History, Queer",6.36,1.09,9.48,2.31
The Queen's Gambit,Walter Tevis,2024-04-02T17:08:22-08:00,"epub, mobi",9781982597191,"google:i2hsDwAAQBAJ,isbn:9781982597191,barnesnoble:1102811989,amazon:1982597194,mobi-asin:B00O15BN4C",eng,2014-09-28T23:00:00-08:00,RosettaBooks,,1,413455,"Fiction, Literary",6cdcec4f-5f10-4510-92c7-4e537e05466d,"Netflix’s most watched limited series to date! The thrilling novel of one young woman’s journey through the worlds of chess and drug addiction.​ When eight-year-old Beth Harmon’s parents are killed in an automobile accident, she’s placed in an orphanage in Mount Sterling, Kentucky. Plain and shy, Beth learns to play chess from the janitor in the basement and discovers she is a prodigy. Though penniless, she is desperate to learn more—and steals a chess magazine and enough money to enter a tournament. Beth also steals some of her foster mother’s tranquilizers to which she is becoming addicted. At thirteen, Beth wins the chess tournament. By the age of sixteen she is competing in the US Open Championship and, like Fast Eddie in The Hustler, she hates to lose. By eighteen she is the US champion—and Russia awaits . . . Fast-paced and elegantly written, The Queen’s Gambit is a thriller masquerading as a chess novel—one that’s sure to keep you on the edge of your seat. “The Queen’s Gambit is sheer entertainment. It is a book I reread every few years—for the pure pleasure and skill of it.” —Michael Ondaatje, Man Booker Prize–winning author of The English Patient",19.99,256,Fiction,5.16,0.54,7.97,0.5
Normal People,Sally Rooney,2024-04-02T17:08:22-08:00,"epub, mobi",9780571334643,"amazon:0571334644,google:x3tgDwAAQBAJ,goodreads:37539457,barnesnoble:1129141966,isbn:9780571334643",eng,2018-08-29T23:00:00-08:00,Faber & Faber,,1,528630,"Fiction, Literary, General, Romance, Contemporary",5cb4afbf-5235-4276-931f-7af4faf55b18,,10.99,304,"YA, Fiction",5.18,0.66,7.92,2.31
Crazy Rich Asians,Kevin Kwan,2024-04-02T17:08:22-08:00,"epub, mobi",9780345803788,"barnesnoble:1112787602,mobi-asin:ae5395a8-f94b-4197-8991-8929334307cc,isbn:9780345803788",eng,2014-05-19T23:00:00-08:00,Knopf Doubleday Publishing Group,Crazy Rich Asians Series,1,982799,"Literary, Retail, Humor, Nook, Fiction",a55acbc1-989e-4d78-9f74-de4c99c4f5ae,,10.99,544,Fiction,5.5,1.05,8.4,N/A
The Midnight Library,Matt Haig,2024-04-02T17:08:22-08:00,"epub, mobi",9780525559498,"isbn:9780525559498,barnesnoble:1136586832,mobi-asin:B08543NK7K",eng,2023-05-08T23:00:00-08:00,Penguin Publishing Group,,1,1228383,,55332b99-12f9-47a4-8b33-d9195a8b5402,"The #1 New York Times bestselling WORLDWIDE phenomenon Winner of the Goodreads Choice Award for Fiction | A Good Morning America Book Club Pick | Independent (London) Ten Best Books of the Year ""A feel-good book guaranteed to lift your spirits.""—The Washington Post The dazzling reader-favorite about the choices that go into a life well lived, from the acclaimed author of How To Stop Time and The Comfort Book. Don’t miss Matt Haig’s latest instant New York Times besteller, The Life Impossible, available now Somewhere out beyond the edge of the universe there is a library that contains an infinite number of books, each one the story of another reality. One tells the story of your life as it is, along with another book for the other life you could have lived if you had made a different choice at any point in your life. While we all wonder how our lives might have been, what if you had the chance to go to the library and see for yourself? Would any of these other lives truly be better? In The Midnight Library, Matt Haig's enchanting blockbuster novel, Nora Seed finds herself faced with this decision. Faced with the possibility of changing her life for a new one, following a different career, undoing old breakups, realizing her dreams of becoming a glaciologist; she must search within herself as she travels through the Midnight Library to decide what is truly fulfilling in life, and what makes it worth living in the first place.",10.99,304,Fiction,5.07,0.81,7.73,2.31
If Cats Disappeared From the World: A Novel,Genki Kawamura,2024-04-02T17:08:22-08:00,"epub, mobi",9781250294050,"amazon:1250294053,google:a3lODwAAQBAJ,goodreads:37901571,isbn:9781250294050",eng,2019-03-11T23:00:00-08:00,Flatiron Books,,1,659950,"Fiction, Literary, Animals, General, World Literature, Russia, 20th Century",9792faf1-7493-4e93-a651-d95433003f56,,10.99,176,"Fiction, Short Story",5.3,0.7,7.5,2.31
The Picture of Dorian Gray - Oscar Wilde,Oscar Wilde,2024-04-02T17:08:22-08:00,"epub, mobi",9781604244670,"barnesnoble:1102812034,isbn:9781604244670",eng,2007-11-08T00:00:00-08:00,Book Jungle,,1,333646,none,33e87dc5-ec82-4302-8c82-4f6052d47ceb,,10.99,304,Classics,5.5,1.05,8.4,N/A
Orphia and Eurydicius,Elyse John,2024-05-02T14:52:07-08:00,"epub, mobi",9781460765241,"isbn:9781460765241,google:2pXOEAAAQBAJ,amazon:1460765249",eng,2024-03-01T00:00:00-08:00,HarperCollins,,1,3275899,"Fiction, Fairy Tales; Folk Tales; Legends & Mythology, Romance, Historical, Ancient World, Literary, Classics, Lgbtq+, General, Contemporary",5b8ea415-ac61-46c3-98b4-10caf422f7c9,"The stunning, gender-flipped novel about love, creativity and the power of speaking out - perfect for fans of Madeline Miller and Pat Barker. 'Poetic and evocative ... this story will thrill readers' PIP WILLIAMS, bestselling author of The Dictionary of Lost Words Their love transcends every boundary. Can it cheat death? Orphia dreams of something more than the warrior crafts she's been forced to learn. Hidden away on a far-flung island, her blood sings with poetry and her words can move flowers to bloom and forests to grow ... but her father, the sun god Apollo, has forbidden her this art. A chance meeting with a young shield-maker, Eurydicius, gives her the courage to use her voice. After wielding all her gifts to defeat one final champion, Orphia draws the scrutiny of the gods. Performing her poetry, she wins the protection of the goddesses of the arts: the powerful Muses, who welcome her to their sanctuary on Mount Parnassus. Orphia learns to hone her talents, crafting words of magic infused with history, love and tragedy. When Eurydicius joins her, Orphia struggles with her desire for fame and her budding love. As her bond with the gentle shield-maker grows, she joins the Argonauts on their quest for the Golden Fleece. Facing dragons, sirens and ruthless warriors on the voyage, Orphia earns unparalleled fame, but she longs to return to Eurydicius. Yet she has a darker journey to make - one which will see her fight for her love with all the power of her poetry. Praise for Orphia and Eurydicius 'As I read, I imagined the muses beside Elyse John, focusing her mind and guiding her hand. The writing is poetic and evocative, and the story will thrill readers who have long suspected something is missing from the classics of Greek myth.' PIP WILLIAMS, author of The Dictionary of Lost Words and The Bookbinder of Jericho 'Spins a bewitching tale of courage, love, and defiance, giving voice and agency to the women in Greek tales who are so often defined by the men they are associated with. Orphia's poetry may bring the gods to tears; John's words have the same effect on us mere mortals. Tragic and triumphant, a must-read!' ANDREA STEWART, author of The Bone Shard Daughter 'Elyse John's deft language lays bare the exquisite intimacies of human connection, from the brutal - yet seductive - exercise of power over another, to the moments of tenderness and vulnerability between lovers.' SHELLEY PARKER-CHAN, author of She Who Became the Sun 'Elyse John's Orphia and Eurydicius stunning retelling deftly explores Orphia's beginnings, her poetic ambitions, and her searing chemistry with Eurydicius, all of which challenge the gender dynamics of the time and death itself. A highly original read.' STACEY THOMAS, author of The Revels 'Bold yet beautiful ... I was glued to the page, compelled by the story of Lady Orphia and her love, the gentle shieldmaker Eurydicius. Orphia and Eurydicius is a thoughtful consideration as to what it means to be a man, a woman, a hero, a human being. I loved this retelling and couldn't stop thinking about it: Lady Orphia has my heart.' LAURA SHEPPERSON, Sunday Times bestselling author of The Heroines (UK), Phaedra (US) 'A cleverly conceived and lyrically crafted reimagining. John deftly weaves a compelling and insightful narrative that interrogates not only patriarchy but the gendered dynamics of love, romance and the role of artist and muse. It is a story about the importance of having a voice, and a delightful subversion of myth' BEA FITZGERALD, Sunday Times bestselling author of Girl, Goddess, Queen 'I found myself crying at the power of Elyse John's glittering, lyrical prose and the relationship at the heart of the novel. This is an excellent example of the power of mythological retellings as the novel makes us re-examine gender, heteronormativity and what makes a hero. I fell head over heels for this warrior-poet and gentle shieldmaker' RANI SELVARAJAH, author of Savage Beasts 'Orphia and Eurydicius is a Greek retelling which stands out in an age of reiterations. The language is lyrical, the plot, enchanting. John is a writer who has clearly done the work, one whose courage aligns with her brave, protagonists, outliers in their own right. I find myself enamoured of both artist and novel; the tender yearning, the fierce desire, the sorrow and sacrifice. This book consumed three months of my life and yet, I want to give more. It will be hard to return to real life. (If I cannot have this type of love, I'd rather have none at all). Orphia and Eurydicius is worthy of the greats.' CHỊKỌDỊLỊ EMELỤMADỤ, author of Dazzling 'A gorgeous, sweeping tale that both evokes the feeling of classic mythology and intelligent and modern insight, this is a story of the boundaries we put on love and grief - I dare you to be unmoved by it.' SAM HAWKE, author of City of Lies 'A beautiful, poetic ode to Greek myth, love, and the sheer power of women's art and women's voices.' TASHA SURI, author of the Burning Kingdoms series 'A powerful ode to female creativity and ambition, a poignant exploration of grief, and a testament to the power of art and love to transcend death. Lyrical, luminous, and brimming with passion.' H.G. PARRY, author of The Magician's Daughter 'A fresh and enchanting retelling of the Orpheus myth, in which Ancient Greece's greatest poet becomes a bold, powerful woman, and her muse an artistic, gentle man. John astutely explores and tests the gendered stereotypes of classical myth and elevates women's voices and stories to craft a beautiful, beguiling modern myth about the value of creativity, the strength of non-conformity and the power of love.' NIKKI MARMERY, author of Lilith 'Beautiful, beguiling and at times heartbreaking, Orphia and Eurydicius is a novel to be savoured and cherished. Rich in detail with characters that leap off the page, it kept me reading well into the night with my heart in my mouth. John has created a world that is both visceral and sumptuous, with prose that is as razor-sharp as it is lyrical. Gripping, poetic and enthralling, this novel is a testament to Elyse John's astonishing talent. Fans of Greek mythology are in for a treat!' AWAIS KHAN, author of Someone Like Her 'An absolutely beautiful book, both mythic and achingly human. Elyse John crafts an incisive yet graceful inversion of myth, told in deft and evocative prose.' ROWENNA MILLER, author of The Fairy Bargains of Prospect Hill 'Distilling the essence of poetry and the meaning of honesty, Orphia and Eurydicius is sharp as a spear tip and precise as a lover's wound. A story to be re-read and luxuriated in, asserting strength in a woman's spirit, the need for expression, and the fight to stay true to oneself.' KRITIKA H. RAO, author of The Surviving Sky 'A swoonworthy, breathtakingly exquisite, poignant masterpiece' BETTER READING 'Like all enchanted books, the story of Elyse Johns' Orphia and Eurydicius is vivid, consuming, potent, and poetic. This gender-flipping, feminist retelling is not just a love story for the ages, but a moving, magical ode to the power of using our voices, and of being who we are in the world.' HOLLY RINGLAND, author of The Seven Skins of Esther Wilding 'This book hooked me from its opening lines ... Music and poetry, art and magic are woven together in this dazzling fable which ultimately asks: how far are we willing to go for the ones we love? Elyse John has taken one of the most beautiful and tragic love stories ever told and infused it with a modern sensibility. Readers will swoon.' LAUREN CHATER, author of The Winter Dress 'A timeless story told in rich, poetic language ... a book for lovers of myth, passion and transporting historical fiction. John brilliantly reimagines the past while crafting a moving tale of love that challenges outdated gender roles, and of grief drawn from the depths of experience. The mesmerising landscapes, the journeys of sea and fire, encircle this very human story in the evocative realm of legend.' KATHERINE BRABON, author of The Shut Ins 'Highly polished and luminous ... A wonderfully ambitious, richly imagined tale of star-crossed lovers. Brimming with passion, wit and poetry Orphia and Eurydicius is a story of, and for, the ages. One that not only stands as a paeon to love, courage and acceptance but to every woman's desire, and right, to be heard. A triumph.' LYN HUGHES, author of Mr Carver's Whale 'A delectable concoction at once ancient and modern, comfortingly familiar and yet very much her own ... A thrilling tale of epic love and epic ambition spun with a Homeric sense of adventure and storytelling flair. It's also a hymn to the pleasures of sensuality, nature and creativity, and to the courage of being yourself rather than the person others want you to be.' LEE KOFMAN, author of The Writer Laid Bare 'Elyse John has written that rare novel, one that has heart and wisdom, adventure and poetry, and all the while it pulses with a great political purpose. It's a marvel.' NIGEL FEATHERSTONE, author of My Heart is a Little Wild Thing 'An intoxicating story about a woman fighting to live a life of creativity and love, on her own terms. This is a powerful epic about the collective power of women set in the mythical past that feels incredibly relevant today. John's gilded romance about breaking boundaries to live and love is transportative.' STEPH VIZARD, winner of the 2022 HarperCollins Banjo Prize for The Love Contract",8.99,506,"Greek Mythology, Classic",5.08,0.98,7.8,"
                                 2.31 pounds"
A Prayer for the Crown-Shy: A Monk and Robot Book,Becky Chambers,2024-05-02T14:52:07-08:00,"epub, mobi",9781250236241,"google:ipc9EAAAQBAJ,isbn:9781250236241,amazon:B09CNFL3W7",eng,2022-07-11T23:00:00-08:00,Tordotcom,Monk & Robot,2,4959138,"Fiction, Science Fiction, Action & Adventure, Apocalyptic & Post-Apocalyptic",f29526a9-d566-4856-a334-1469a551ad5f,"A USA Today Bestseller! “Tender and healing... I’m prescribing a preorder to anyone who has ever felt lost. Stunning, kind, necessary.” —Sarah Gailey on book 1: A Psalm for the Wild-Built A Prayer for the Crown-Shy is a story of kindness and love from one of the foremost practitioners of hopeful SF. After touring the rural areas of Panga, Sibling Dex (a Tea Monk of some renown) and Mosscap (a robot sent on a quest to determine what humanity really needs) turn their attention to the villages and cities of the little moon they call home. They hope to find the answers they seek, while making new friends, learning new concepts, and experiencing the entropic nature of the universe. Becky Chambers's new series continues to ask: in a world where people have what they want, does having more even matter? At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",11.99,160,"Fiction, Short Story",5.3,0.65,8.3,"
                                 2.31 pounds"
Cleat Cute,Meryl Wilsner,2024-05-02T14:52:16-08:00,"epub, mobi",9781250873309,"amazon:1250873304,isbn:9781250873309",eng,2023-09-18T23:00:00-08:00,Griffin,,1,4010500,,9c881999-aac2-4415-a69b-4faea852b3b5,"* USA TODAY BESTSELLER * A sapphic rivals to lovers rom com for fans of Ted Lasso and A League of Their Own, where two soccer teammates are at odds before falling in love as their team gears up for the World Cup. Grace Henderson has been a star of the US Women’s National Team for ten years, even though she’s only 26. But when she’s sidelined with an injury, a bold new upstart, Phoebe Matthews, takes her spot. 22-year-old Phoebe is everything Grace isn’t—a gregarious jokester who plays with a joy that Grace lost somewhere along the way. The last thing Grace expects is to become teammates with benefits with this class clown she sees as her rival. Phoebe Matthews is too focused on her first season as a professional soccer player to think about seducing her longtime idol. But when Grace ends up making the first move, they can’t keep their hands off of each other. As the World Cup approaches and Grace works her way back from injury, a miscommunication leaves the women with hilariously different perspectives on their relationship. But they’re on the same page on the field, realizing they can play together instead of vying for the same position. With every tackle the tension between them grows, and both players soon have to decide what's more important—being together or making the roster. The perfect blend of funny and steamy, Meryl Wilsner’s Cleat Cute is about being brave enough to win on and off the field.",10.99,336,"Queer, Smut",5.4,0.85,8.2,"
                                 2.31 pounds"
