Title,Author,Download_Timestamp,MonthRead,Format,Completed,ISBN,Identifiers,Languages,Publication_Date,Publisher,Series,Series_Index,Size,Tags,UUID,Comments,USD Sale Price,Pages,Categories,Width,Thickness,Height,Weight,MonthName
"The Coming Wave: Technology, Power, and the Twenty-First Century's Greatest Dilemma",Mustafa Suleyman & Michael Bhaskar,2024-11-12 19:16:13-08:00,8,"epub, mobi",0,9780593593950,"google:a-26EAAAQBAJ,isbn:9780593593950,amazon:0593593952",eng,2023-09-05T00:00:00-08:00,Crown,,1.0,1778775.0,"Technology & Engineering, Social Aspects, Social Science, Future Studies, Computers, Artificial Intelligence, General",8eb2df33-ef5b-433a-a981-90e7286ea89f,,10.99,352,Technology,5.5,1.05,8.4,,August
Orphia and Eurydicius,Elyse John,2024-05-02 14:52:07-08:00,8,"epub, mobi",1,9781460765241,"isbn:9781460765241,google:2pXOEAAAQBAJ,amazon:1460765249",eng,2024-03-01T00:00:00-08:00,HarperCollins,,1.0,3275899.0,"Fiction, Fairy Tales; Folk Tales; Legends & Mythology, Romance, Historical, Ancient World, Literary, Classics, Lgbtq+, General, Contemporary",5b8ea415-ac61-46c3-98b4-10caf422f7c9,"The stunning, gender-flipped novel about love, creativity and the power of speaking out - perfect for fans of Madeline Miller and Pat Barker. 'Poetic and evocative ... this story will thrill readers' PIP WILLIAMS, bestselling author of The Dictionary of Lost Words Their love transcends every boundary. Can it cheat death? Orphia dreams of something more than the warrior crafts she's been forced to learn. Hidden away on a far-flung island, her blood sings with poetry and her words can move flowers to bloom and forests to grow ... but her father, the sun god Apollo, has forbidden her this art. A chance meeting with a young shield-maker, Eurydicius, gives her the courage to use her voice. After wielding all her gifts to defeat one final champion, Orphia draws the scrutiny of the gods. Performing her poetry, she wins the protection of the goddesses of the arts: the powerful Muses, who welcome her to their sanctuary on Mount Parnassus. Orphia learns to hone her talents, crafting words of magic infused with history, love and tragedy. When Eurydicius joins her, Orphia struggles with her desire for fame and her budding love. As her bond with the gentle shield-maker grows, she joins the Argonauts on their quest for the Golden Fleece. Facing dragons, sirens and ruthless warriors on the voyage, Orphia earns unparalleled fame, but she longs to return to Eurydicius. Yet she has a darker journey to make - one which will see her fight for her love with all the power of her poetry. Praise for Orphia and Eurydicius 'As I read, I imagined the muses beside Elyse John, focusing her mind and guiding her hand. The writing is poetic and evocative, and the story will thrill readers who have long suspected something is missing from the classics of Greek myth.' PIP WILLIAMS, author of The Dictionary of Lost Words and The Bookbinder of Jericho 'Spins a bewitching tale of courage, love, and defiance, giving voice and agency to the women in Greek tales who are so often defined by the men they are associated with. Orphia's poetry may bring the gods to tears; John's words have the same effect on us mere mortals. Tragic and triumphant, a must-read!' ANDREA STEWART, author of The Bone Shard Daughter 'Elyse John's deft language lays bare the exquisite intimacies of human connection, from the brutal - yet seductive - exercise of power over another, to the moments of tenderness and vulnerability between lovers.' SHELLEY PARKER-CHAN, author of She Who Became the Sun 'Elyse John's Orphia and Eurydicius stunning retelling deftly explores Orphia's beginnings, her poetic ambitions, and her searing chemistry with Eurydicius, all of which challenge the gender dynamics of the time and death itself. A highly original read.' STACEY THOMAS, author of The Revels 'Bold yet beautiful ... I was glued to the page, compelled by the story of Lady Orphia and her love, the gentle shieldmaker Eurydicius. Orphia and Eurydicius is a thoughtful consideration as to what it means to be a man, a woman, a hero, a human being. I loved this retelling and couldn't stop thinking about it: Lady Orphia has my heart.' LAURA SHEPPERSON, Sunday Times bestselling author of The Heroines (UK), Phaedra (US) 'A cleverly conceived and lyrically crafted reimagining. John deftly weaves a compelling and insightful narrative that interrogates not only patriarchy but the gendered dynamics of love, romance and the role of artist and muse. It is a story about the importance of having a voice, and a delightful subversion of myth' BEA FITZGERALD, Sunday Times bestselling author of Girl, Goddess, Queen 'I found myself crying at the power of Elyse John's glittering, lyrical prose and the relationship at the heart of the novel. This is an excellent example of the power of mythological retellings as the novel makes us re-examine gender, heteronormativity and what makes a hero. I fell head over heels for this warrior-poet and gentle shieldmaker' RANI SELVARAJAH, author of Savage Beasts 'Orphia and Eurydicius is a Greek retelling which stands out in an age of reiterations. The language is lyrical, the plot, enchanting. John is a writer who has clearly done the work, one whose courage aligns with her brave, protagonists, outliers in their own right. I find myself enamoured of both artist and novel; the tender yearning, the fierce desire, the sorrow and sacrifice. This book consumed three months of my life and yet, I want to give more. It will be hard to return to real life. (If I cannot have this type of love, I'd rather have none at all). Orphia and Eurydicius is worthy of the greats.' CHỊKỌDỊLỊ EMELỤMADỤ, author of Dazzling 'A gorgeous, sweeping tale that both evokes the feeling of classic mythology and intelligent and modern insight, this is a story of the boundaries we put on love and grief - I dare you to be unmoved by it.' SAM HAWKE, author of City of Lies 'A beautiful, poetic ode to Greek myth, love, and the sheer power of women's art and women's voices.' TASHA SURI, author of the Burning Kingdoms series 'A powerful ode to female creativity and ambition, a poignant exploration of grief, and a testament to the power of art and love to transcend death. Lyrical, luminous, and brimming with passion.' H.G. PARRY, author of The Magician's Daughter 'A fresh and enchanting retelling of the Orpheus myth, in which Ancient Greece's greatest poet becomes a bold, powerful woman, and her muse an artistic, gentle man. John astutely explores and tests the gendered stereotypes of classical myth and elevates women's voices and stories to craft a beautiful, beguiling modern myth about the value of creativity, the strength of non-conformity and the power of love.' NIKKI MARMERY, author of Lilith 'Beautiful, beguiling and at times heartbreaking, Orphia and Eurydicius is a novel to be savoured and cherished. Rich in detail with characters that leap off the page, it kept me reading well into the night with my heart in my mouth. John has created a world that is both visceral and sumptuous, with prose that is as razor-sharp as it is lyrical. Gripping, poetic and enthralling, this novel is a testament to Elyse John's astonishing talent. Fans of Greek mythology are in for a treat!' AWAIS KHAN, author of Someone Like Her 'An absolutely beautiful book, both mythic and achingly human. Elyse John crafts an incisive yet graceful inversion of myth, told in deft and evocative prose.' ROWENNA MILLER, author of The Fairy Bargains of Prospect Hill 'Distilling the essence of poetry and the meaning of honesty, Orphia and Eurydicius is sharp as a spear tip and precise as a lover's wound. A story to be re-read and luxuriated in, asserting strength in a woman's spirit, the need for expression, and the fight to stay true to oneself.' KRITIKA H. RAO, author of The Surviving Sky 'A swoonworthy, breathtakingly exquisite, poignant masterpiece' BETTER READING 'Like all enchanted books, the story of Elyse Johns' Orphia and Eurydicius is vivid, consuming, potent, and poetic. This gender-flipping, feminist retelling is not just a love story for the ages, but a moving, magical ode to the power of using our voices, and of being who we are in the world.' HOLLY RINGLAND, author of The Seven Skins of Esther Wilding 'This book hooked me from its opening lines ... Music and poetry, art and magic are woven together in this dazzling fable which ultimately asks: how far are we willing to go for the ones we love? Elyse John has taken one of the most beautiful and tragic love stories ever told and infused it with a modern sensibility. Readers will swoon.' LAUREN CHATER, author of The Winter Dress 'A timeless story told in rich, poetic language ... a book for lovers of myth, passion and transporting historical fiction. John brilliantly reimagines the past while crafting a moving tale of love that challenges outdated gender roles, and of grief drawn from the depths of experience. The mesmerising landscapes, the journeys of sea and fire, encircle this very human story in the evocative realm of legend.' KATHERINE BRABON, author of The Shut Ins 'Highly polished and luminous ... A wonderfully ambitious, richly imagined tale of star-crossed lovers. Brimming with passion, wit and poetry Orphia and Eurydicius is a story of, and for, the ages. One that not only stands as a paeon to love, courage and acceptance but to every woman's desire, and right, to be heard. A triumph.' LYN HUGHES, author of Mr Carver's Whale 'A delectable concoction at once ancient and modern, comfortingly familiar and yet very much her own ... A thrilling tale of epic love and epic ambition spun with a Homeric sense of adventure and storytelling flair. It's also a hymn to the pleasures of sensuality, nature and creativity, and to the courage of being yourself rather than the person others want you to be.' LEE KOFMAN, author of The Writer Laid Bare 'Elyse John has written that rare novel, one that has heart and wisdom, adventure and poetry, and all the while it pulses with a great political purpose. It's a marvel.' NIGEL FEATHERSTONE, author of My Heart is a Little Wild Thing 'An intoxicating story about a woman fighting to live a life of creativity and love, on her own terms. This is a powerful epic about the collective power of women set in the mythical past that feels incredibly relevant today. John's gilded romance about breaking boundaries to live and love is transportative.' STEPH VIZARD, winner of the 2022 HarperCollins Banjo Prize for The Love Contract",8.99,506,"Greek Mythology, Classics",5.08,0.98,7.8,"
                                 2.31 pounds",August
Complete Works of Plato,Plato & John M. Cooper & D. S. Hutchinson,2024-02-22 07:03:12-08:00,8,"epub, mobi",1,9780872203495,"isbn:9780872203495,goodreads:9462,barnesnoble:1100494378,google:eSKTvJDrr5kC,amazon:0872203492",eng,1997-01-01T00:00:00-08:00,Hackett Publishing,I grandi filosofi,2.0,17287477.0,"History & Surveys, Ancient & Classical, Fiction, Anthologies (Multiple Authors), Politics, Classics, Philosophy, Reference, History",0e266576-f135-42c8-85a1-bee6ad0b096b,Gathers translations of Plato's works and includes guidance on approaching their reading and study,10.99,1848,"Philosophy, Classics",6.5,2.0,9.25,3.05,August
Men Have Called Her Crazy: A Memoir,Anna Marie Tendler,2024-09-13 13:49:40-08:00,9,"epub, mobi",1,9781668032367,"barnesnoble:1145008678,isbn:9781668032367,amazon:1668032341,google:OAfqEAAAQBAJ",eng,2024-08-12T23:00:00-08:00,Simon & Schuster,,1.0,5051622.0,"Biography & Autobiography, Personal Memoirs, Women, Artists; Architects; Photographers",cf8db8f2-5f1f-4dc1-9ccc-5d58ffe3f7e7,,10.99,304,Memoir,5.5,1.05,8.4,,September
Crazy Rich Asians,Kevin Kwan,2024-04-02 17:08:22-08:00,9,"epub, mobi",1,9780345803788,"barnesnoble:1112787602,mobi-asin:ae5395a8-f94b-4197-8991-8929334307cc,isbn:9780345803788",eng,2014-05-19T23:00:00-08:00,Knopf Doubleday Publishing Group,Crazy Rich Asians Series,1.0,982799.0,"Literary, Retail, Humor, Nook, Fiction",a55acbc1-989e-4d78-9f74-de4c99c4f5ae,,10.99,544,Fiction,5.5,1.05,8.4,,September
"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,2024-02-22 07:08:05-08:00,10,"epub, mobi",1,9781501160370,"amazon:1501160273,google:usSeDwAAQBAJ,barnesnoble:1132188921,isbn:9781501160370",eng,2020-04-13T23:00:00-08:00,Simon & Schuster,,1.0,26478727.0,"Biography & Autobiography, Science & Technology, Nature, Animals, Fish, Personal Memoirs",2572d691-2352-4ce5-922f-af149afe67af,"A Best Book of 2020: The Washington Post * NPR * Chicago Tribune * Smithsonian A “remarkable” (Los Angeles Times), “seductive” (The Wall Street Journal) debut from the new cohost of Radiolab, Why Fish Don’t Exist is a dark and astonishing tale of love, chaos, scientific obsession, and—possibly—even murder.​ “At one point, Miller dives into the ocean into a school of fish…comes up for air, and realizes she’s in love. That’s how I felt: Her book took me to strange depths I never imagined, and I was smitten.” —The New York Times Book Review David Starr Jordan was a taxonomist, a man possessed with bringing order to the natural world. In time, he would be credited with discovering nearly a fifth of the fish known to humans in his day. But the more of the hidden blueprint of life he uncovered, the harder the universe seemed to try to thwart him. His specimen collections were demolished by lightning, by fire, and eventually by the 1906 San Francisco earthquake—which sent more than a thousand discoveries, housed in fragile glass jars, plummeting to the floor. In an instant, his life’s work was shattered. Many might have given up, given in to despair. But Jordan? He surveyed the wreckage at his feet, found the first fish that he recognized, and confidently began to rebuild his collection. And this time, he introduced one clever innovation that he believed would at last protect his work against the chaos of the world. When NPR reporter Lulu Miller first heard this anecdote in passing, she took Jordan for a fool—a cautionary tale in hubris, or denial. But as her own life slowly unraveled, she began to wonder about him. Perhaps instead he was a model for how to go on when all seemed lost. What she would unearth about his life would transform her understanding of history, morality, and the world beneath her feet. Part biography, part memoir, part scientific adventure, Why Fish Don’t Exist is a wondrous fable about how to persevere in a world where chaos will always prevail.",10.99,256,"Autobiography, Memoir",5.25,0.6,8.0,2.31,October
The Song of Achilles,Madeline Miller,2024-09-13 13:21:32-08:00,10,"epub, mobi",1,9780062060624,"isbn:9780062060624,barnesnoble:1103167914,amazon:1408821982",eng,2012-08-27T23:00:00-08:00,HarperCollins,P.S. Series,1.0,554364.0,,87a8e617-ed31-46de-94f8-d6ca8a13a34e,,10.99,416,"Greek Mythology, Queer, ",0.96,5.38,7.82,"
                                 2.31 pounds",October
Circe,Madeline Miller,2024-09-13 13:49:40-08:00,10,"epub, mobi",1,9786020665931,"barnesnoble:1028697822,mobi-asin:d360ab6a-1357-4cef-8d2c-cd66710678a0,amazon:1408890089,google:dyikEAAAQBAJ,isbn:9786020665931",eng,2018-04-18T23:00:00-08:00,Gramedia Pustaka Utama,,1.0,1670662.0,"Young Adult Fiction, Literary",3edd7e21-0340-4329-a272-091531a0423d,"Di istana Helios, dewa matahari, lahir seorang anak perempuan. Tetapi Circe anak yang aneh—tidak berkuasa seperti ayahnya, juga tidak memikat seperti ibunya. Karena tak punya teman, Circe mencarinya di dunia manusia, dan mengembangkan kemampuannya sebagai penyihir. Zeus, yang merasa terancam, mengasingkannya ke pulau terpencil. Circe mengasah bakatnya dan bertemu banyak tokoh paling termasyhur dalam mitologi, di antaranya Minotaur, Daedalus dan Icarus, Medea, dan Odysseus yang lihai. Tetapi wanita yang hanya sendirian akan menghadapi banyak bahaya, dan Circe tanpa sengaja membangkitkan murka manusia dan dewa-dewa, sehingga mesti berhadapan dengan dewa Olympus yang paling menakutkan dan pendendam. Untuk melindungi apa yang paling dicintainya, Circe harus mengerahkan seluruh kekuatannya dan memilih dengan tegas, apakah hendak berpihak kepada dewa-dewa yang telah melahirkannya, atau manusia yang telanjur disayanginya.",8.29,416,"Greek Mythology, Fiction",5.5,1.05,8.4,,October
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,2024-08-01 0:00:00,11,mobi,1,9781501174827,"mobi-asin:c556e100-7f30-44a2-8268-1f077788c27f,amazon:B01M5IJM2U,barnesnoble:1124863869,google:NdAmDwAAQBAJ,isbn:9781501174827",eng,2017-06-12T23:00:00-08:00,Simon and Schuster,,1.0,735156.0,"Fiction, Romance, Contemporary, Lgbtq+, General, Bisexual, Women",2edf438c-855a-496d-8bbf-68f7b68625b2,"A stunning hardcover special edition of Taylor Jenkins Reid’s sensational New York Times bestselling novel. A legendary film actress reflects on her relentless rise to the top and the risks she took, the loves she lost, and the long-held secrets the public could never imagine. Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now? Monique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career. Summoned to Evelyn’s luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the ’80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn’s story near its conclusion, it becomes clear that her life intersects with Monique’s own in tragic and irreversible ways. “Heartbreaking, yet beautiful” (Jamie Blynn, Us Weekly), The Seven Husbands of Evelyn Hugo is “Tinseltown drama at its finest” (Redbook): a mesmerizing journey through the splendor of old Hollywood into the harsh realities of the present day as two women struggle with what it means—and what it costs—to face the truth.",10.99,400,"Fiction, Queer, ",5.31,1.1,8.25,0.7,November
If Cats Disappeared From the World: A Novel,Genki Kawamura,2024-04-02 17:08:22-08:00,11,"epub, mobi",1,9781250294050,"amazon:1250294053,google:a3lODwAAQBAJ,goodreads:37901571,isbn:9781250294050",eng,2019-03-11T23:00:00-08:00,Flatiron Books,,1.0,659950.0,"Fiction, Literary, Animals, General, World Literature, Russia, 20th Century",9792faf1-7493-4e93-a651-d95433003f56,,10.99,176,"Fiction, Short Story",5.3,0.7,7.5,2.31,November
I Want to Die but I Want to Eat Tteokbokki: A Memoir,Baek Sehee,2024-09-13 13:21:32-08:00,11,"epub, mobi",1,9781635579383,"barnesnoble:1140966701,isbn:9781635579383,google:3sVcEAAAQBAJ,amazon:152665086X",eng,2022-10-31T23:00:00-08:00,Bloomsbury USA,,1.0,309466.0,,3ec0df1f-019a-462c-a3cc-0655809d4fc4,,10.99,208,Memoir,5.75,0.87,8.56,"
                                 2.31 pounds",November
Fresh Off the Boat: A Memoir,Eddie Huang,2024-08-01 0:00:00,11,"epub, mobi",1,9780679644897,"google:zPgfvddZN_QC,barnesnoble:1110913296,isbn:9780679644897",eng,2013-01-29T00:00:00-08:00,Random House Publishing Group,,1.0,2654979.0,"Biography & Autobiography, Personal Memoirs, Culinary, Social Science, Emigration & Immigration",91e092c0-e667-4793-83c8-59438ef9a2a2,A Taiwanese American rebel restaurateur chronicles his rise to success from his difficult childhood in the American South to his decision to embrace all he had learned about food in his father's restaurants and his mother's kitchen to create his own culinary identity.,10.99,288,"Autobiography, Memoir",5.5,1.05,8.4,0.4,November
The Picture of Dorian Gray - Oscar Wilde,Oscar Wilde,2024-04-02 17:08:22-08:00,12,"epub, mobi",1,9781604244670,"barnesnoble:1102812034,isbn:9781604244670",eng,2007-11-08T00:00:00-08:00,Book Jungle,,1.0,333646.0,none,33e87dc5-ec82-4302-8c82-4f6052d47ceb,,10.99,304,Classics,5.5,1.05,8.4,,December
Never Let Me Go,Kazuo Ishiguro,2024-07-28 10:43:01-08:00,12,"epub, mobi",1,9780676977110,"goodreads:6335,isbn:9780676977110",eng,2006-01-30T22:00:00-08:00,"Random House, Inc.",,1.0,381703.0,"General, Fiction, Science Fiction, Fiction - General, Literary, Psychological",74999954-62b3-4adc-8a43-ca9e6184436e,"NOBEL PRIZE WINNER • The moving, suspenseful, beautifully atmospheric modern classic from the acclaimed author of The Remains of the Day and Klara and the Sun—“a Gothic tour de force"" (The New York Times) with an extraordinary twist. • “Speculative, experimental, and humanly moving. . . . Miraculous” —The New Republic • “A page-turner and a heartbreaker, a tour de force of knotted tension and buried anguish.” —TIME As children, Kathy, Ruth, and Tommy were students at Hailsham, an exclusive boarding school secluded in the English countryside. It was a place of mercurial cliques and mysterious rules where teachers were constantly reminding their charges of how special they were. Now, years later, Kathy is a young woman. Ruth and Tommy have reentered her life. And for the first time she is beginning to look back at their shared past and understand just what it is that makes them special—and how that gift will shape the rest of their time together.",10.99,288,"Sci-Fi, Fiction",5.5,1.05,8.4,,December
Crying in H Mart,Michelle Zauner,2024-08-01 0:00:00,12,"epub, mobi",1,9780593685648,"isbn:9780593685648,barnesnoble:1137397295",eng,2023-03-27T23:00:00-08:00,Knopf Doubleday Publishing Group,,1.0,5809074.0,,eef3c079-e82f-4536-a5ec-bdda863a0196,"#1 NEW YORK TIMES BESTSELLER • From the indie rock sensation known as Japanese Breakfast, an unforgettable memoir about family, food, grief, love, and growing up Korean American—“in losing her mother and cooking to bring her back to life, Zauner became herself” (NPR). • CELEBRATING OVER ONE YEAR ON THE NEW YORK TIMES BESTSELLER LIST In this exquisite story of family, food, grief, and endurance, Michelle Zauner proves herself far more than a dazzling singer, songwriter, and guitarist. With humor and heart, she tells of growing up one of the few Asian American kids at her school in Eugene, Oregon; of struggling with her mother's particular, high expectations of her; of a painful adolescence; of treasured months spent in her grandmother's tiny apartment in Seoul, where she and her mother would bond, late at night, over heaping plates of food. As she grew up, moving to the East Coast for college, finding work in the restaurant industry, and performing gigs with her fledgling band--and meeting the man who would become her husband--her Koreanness began to feel ever more distant, even as she found the life she wanted to live. It was her mother's diagnosis of terminal cancer, when Michelle was twenty-five, that forced a reckoning with her identity and brought her to reclaim the gifts of taste, language, and history her mother had given her. Vivacious and plainspoken, lyrical and honest, Zauner's voice is as radiantly alive on the page as it is onstage. Rich with intimate anecdotes that will resonate widely, and complete with family photos, Crying in H Mart is a book to cherish, share, and reread.",10.99,245,"Autobiography, Memoir",5.5,1.05,8.4,0.78,December
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van Der Kolk M. D.,2023-09-22 15:50:23-08:00,12,"epub, mobi",1,9781101608302,"google:3Q3UAgAAQBAJ,barnesnoble:1117229987,isbn:9781101608302",eng,2014-09-24T23:00:00-08:00,Penguin,,1.0,7121138.0,"Psychology, Psychopathology, Post-Traumatic Stress Disorder (PTSD), Mental Health, Medical, Psychiatry, General",c8bc58b4-dd3d-40d4-9e90-220ee24b5c37,,10.99,464,Self Help,1.1,5.4,8.4,0.9,December
