Title,Author,Download_Timestamp,MonthRead,Format,Completed,ISBN,Identifiers,Languages,Publication_Date,Publisher,Series,Series_Index,Size,Tags,UUID,Comments,USD Sale Price,Pages,Categories,Width,Thickness,Height,Weight,MonthName
Yellowface: A Novel,R. F Kuang,2024-08-01 0:00:00,7,"epub, mobi",1,9780063323179,"goodreads:108518662,amazon:0063323176,isbn:9780063323179",eng,2023-05-15T23:00:00-08:00,William Morrow Paperbacks,,1.0,1021250.0,,fc8b1839-2449-468d-bb03-e579504a58fe,,10.99,351,"Mystery, Fiction",5.5,1.05,8.4,,July
What You Are Looking for Is in the Library: A Novel,Michiko Aoyama,2024-09-22 12:49:58-08:00,7,"epub, mobi",1,9781335005625,"barnesnoble:1142989253,isbn:9781335005625",eng,2023-09-04T23:00:00-08:00,Hanover Square Press,,1.0,1032313.0,,656b4913-dac3-43f8-a2d6-392681221c79,,12.01,304,Fiction,5.42,1.03,7.42,"
                                 2.31 pounds",July
America Is Not the Heart: A Novel,Elaine Castillo,2024-06-26 16:32:56-08:00,7,"epub, mobi",1,9780735222410,"google:VdGLDwAAQBAJ,isbn:9780735222410,amazon:073522241X",eng,2018-04-02T23:00:00-08:00,Viking,,1.0,2128656.0,"Fiction, Women, Literary, Asian American",f9654bec-52a6-4a37-a064-3b28d748e88e,"Named one of the best books of the year by NPR, Real Simple, Lit Hub, The Boston Globe, San Francisco Chronicle, The New York Post, Kirkus Reviews, and The New York Public Library ""A saga rich with origin myths, national and personal . . . Castillo is part of a younger generation of American writers instilling literature with a layered sense of identity."" --Vogue How many lives fit in a lifetime? When Hero De Vera arrives in America--haunted by the political upheaval in the Philippines and disowned by her parents--she's already on her third. Her uncle gives her a fresh start in the Bay Area, and he doesn't ask about her past. His younger wife knows enough about the might and secrecy of the De Vera family to keep her head down. But their daughter--the first American-born daughter in the family--can't resist asking Hero about her damaged hands. An increasingly relevant story told with startling lucidity, humor, and an uncanny ear for the intimacies and shorthand of family ritual, America Is Not the Heart is a sprawling, soulful debut about three generations of women in one family struggling to balance the promise of the American dream and the unshakeable grip of history. With exuberance, grit, and sly tenderness, here is a family saga; an origin story; a romance; a narrative of two nations and the people who leave one home to grasp at another.",10.99,432,Fiction,5.5,1.05,8.4,,July
Clytemnestra: A Novel,Costanza Casati,2023-12-28 18:38:12-08:00,7,"epub, mobi",1,9781728268255,"amazon:1728268230,google:v7d1EAAAQBAJ,mobi-asin:9c3230f8-af32-49e2-a740-817d816e07f9,isbn:9781728268255,barnesnoble:1141663371",eng,2023-05-01T23:00:00-08:00,Sourcebooks,,1.0,656052.0,"Fiction, Historical, Ancient, Feminist, Women, World Literature, Greece, Fairy Tales; Folk Tales; Legends & Mythology, Literary",e969bc2b-805d-4cc8-9cc4-38be97a5609d,,10.99,582,"Greek Mythology, Fiction",5.5,1.05,8.4,,July
The Poppy War,R. F. Kuang,2024-07-01 0:00:00,7,"epub, mobi",1,9780062662569,"isbn:9780062662569,amazon:0062662562",eng,2018-05-01 0:00:00,Harper Voyager,The Poppy War,1.0,,"Fantasy, Military Fantasy, Asian Fantasy",,,10.99,544,Fantasy,5.31,1.28,8.0,1.2,July
The Dragon Republic,R. F. Kuang,2024-07-05 0:00:00,7,"epub, mobi",1,9780062662637,"isbn:9780062662637,amazon:0062662635",eng,2019-08-06 0:00:00,Harper Voyager,The Poppy War,2.0,,"Fantasy, Military Fantasy, Asian Fantasy",,,10.99,672,Fantasy,5.31,1.5,8.0,1.5,July
The Burning God,R. F. Kuang,2024-07-10 0:00:00,7,"epub, mobi",1,9780062662590,"isbn:9780062662590,amazon:0062662597",eng,2020-11-17 0:00:00,Harper Voyager,The Poppy War,3.0,,"Fantasy, Military Fantasy, Asian Fantasy",,,10.99,640,Fantasy,5.31,1.4,8.0,1.4,July
Babel: Or the Necessity of Violence,R. F. Kuang,2024-07-15 0:00:00,7,"epub, mobi",1,9780063021426,"isbn:9780063021426,amazon:0063021420",eng,2022-08-23 0:00:00,Harper Voyager,,,,"Fantasy, Dark Academia, Historical Fantasy",,,12.99,560,Fantasy,6.0,1.4,9.0,1.6,July
"Dear Scott, Dearest Zelda",F. Scott Fitzgerald & Zelda Fitzgerald,2024-09-13 13:49:40-08:00,8,"epub, mobi",1,9781982117139,isbn:9781982117139,eng,2019-07-22T23:00:00-08:00,Scribner,,1.0,10160639.0,,2420bc88-3ddd-4130-9cf6-bc052c64da8c,,10.99,432,Classics,6.0,1.0,9.0,"
                                 1.01 pounds",August
The Best Short Stories of Fyodor Dostoevsky,Fyodor Dostoevsky,2024-09-22 12:49:58-08:00,8,"epub, mobi",1,9780375756887,"google:oFnFFiTVST4C,barnesnoble:1103272238,isbn:9780375756887,amazon:B00A2M3RJW",eng,2012-07-10T23:00:00-08:00,Modern Library,Modern Library Classics,1.0,956966.0,"Fiction, Classics, Short Stories (Single Author), Psychological",909e2489-23b7-4464-b957-70072f09b2d1,"This collection, unique to the Modern Library, gathers seven of Dostoevsky's key works and shows him to be equally adept at the short story as with the novel. Exploring many of the same themes as in his longer works, these small masterpieces move from the tender and romantic White Nights, an archetypal nineteenth-century morality tale of pathos and loss, to the famous Notes from the Underground, a story of guilt, ineffectiveness, and uncompromising cynicism, and the first major work of existential literature. Among Dostoevsky's prototypical characters is Yemelyan in The Honest Thief, whose tragedy turns on an inability to resist crime. Presented in chronological order, in David Magarshack's celebrated translation, this is the definitive edition of Dostoevsky's best stories.",4.99,320,Classics,5.17,0.64,7.97,"
                                 2.31 pounds",August
